ref_lcb_start,ref_lcb_stop,ref_lcb_strand,query_lcb_start,query_lcb_stop,query_lcb_strand,lcb_num,length_ratio,ref_strain,query_strain
1149290,1218179,1,190111,258260,-1,6,1.010858559920175,FA1090,2020C08-294
1220952,1717234,1,1290448,1791795,1,7,0.9898972168976776,FA1090,2020C08-294
1717241,1889080,1,1946574,2125335,-1,8,0.9612779073735322,FA1090,2020C08-294
1889985,2044886,1,1792177,1945663,-1,9,1.0092190818706592,FA1090,2020C08-294
2047519,2155339,1,2125637,2234167,1,10,0.9934580300377776,FA1090,2020C08-294
1,187648,1,1,188842,1,0,0.9936772205188492,FA1090,2020N07-265
187651,468122,1,257755,540344,1,1,0.9925050161188157,FA1090,2020N07-265
470253,1064733,1,541807,1146222,-1,2,0.9835626183996096,FA1090,2020N07-265
1084371,1148068,1,1554869,1618415,1,3,1.002376231391433,FA1090,2020N07-265
1149290,1218179,1,189615,257752,-1,4,1.0110365880505452,FA1090,2020N07-265
1222194,1595264,1,1166767,1545630,1,5,0.984709512409499,FA1090,2020N07-265
1601824,1717233,1,1618622,1734011,1,6,1.000173326746917,FA1090,2020N07-265
1717241,2046033,1,1735767,2072385,-1,7,0.976751094712701,FA1090,2020N07-265
2047523,2155339,1,2072691,2184061,1,8,0.9680883541348657,FA1090,2020N07-265
1,187800,1,1,188893,1,0,0.9942136247167693,FA1090,2020N08-318
187803,465966,1,258060,535795,1,1,1.0015410373197473,FA1090,2020N08-318
471786,1067267,1,537147,1199010,-1,2,0.8997043194739697,FA1090,2020N08-318
1069166,1072613,1,1593396,1596877,-1,3,0.9902326917552428,FA1090,2020N08-318
1084909,1148068,1,1605538,1668737,1,4,0.9993670785930158,FA1090,2020N08-318
